POPULATION,CODE,REGION,CODE_REGION,BREAST,CERVIC,CRC
Austria,AT,0,0,36.9,WHITE,WHITE
Belgium All,BE,0,0,WHITE,,
Belgium Brussels,BE,1,1,10.4,WHITE,6.5
Belgium Flanders,BE,1,0,50.2,7.40,48.0
Belgium Wallonia,BE,1,2,8.0,WHITE,6.5
Bulgaria,BG,0,0,WHITE,WHITE,WHITE
Croatia,HR,0,0,45.1,10.80,13.9
Cyprus All,CY,0,0,GRAY,WHITE,WHITE
Cyprus Nicosia,CY,1,0,42.2,,
Cyprus Other,CY,1,0,WHITE,,
Czech Republic,CZ,0,0,59.1,GRAY,34.8
Denmark,DK,0,0,72.0,47.50,GRAY
Estonia,EE,0,0,45.9,44.40,WHITE
Finland,FI,0,0,76.1,66.00,15.9
France,FR,0,0,52.3,12.40,26.5
France Calvados,FR,0,0,24.4
Germany,DE,0,0,52.7,WHITE,WHITE
Greece,GR,0,0,WHITE,WHITE,WHITE
Hungary,IT,0,0,38.4,4.50,0.6
Ireland,IE,0,0,76.2,GRAY,11.5
Italy,,,
Italy North,IT,0,0,56.1,33.20,49.9
Italy Centre,IT,0,0,42.7,33.10,22.8
Italy South,IT,0,0,13.8,17.50,8.1
Latvia,LV,0,0,33.6,32.90,11.1
Lithuania,LT,0,0,44.9,37.50,53.1
Luxembourg,LU,0,0,60.4,WHITE,WHITE
Malta,MT,0,0,36.4,WHITE,45.4
Netherlnds,NL,0,0,77.5,63.20,27.2
Poland,PL,0,0,44.0,17.80,1.7
Portugal All,AT,0,0,,,
Portugal Alentejo,PT,1,3,41.9,48.70,3.7
Portugal Algarve,PT,1,0,55.7,7.00,WHITE
Portugal Azores,PT,1,1,50.1,WHITE,WHITE
Portugal Centre,PT,1,5,53.2,55.30,3.7
Portugal Lisboa,PT,1,6,13.6,WHITE,WHITE
Portugal Madeira,PT,1,2,0.0,WHITE,WHITE
Portugal Norte,PT,1,4,34.0,28.90,WHITE
Romania All,RO,0,0,GRAY,9.20,WHITE
Romania Cluj,RO,0,0,49.2,,
Romania Other,RO,0,0,WHITE,,
Slovakia,SK,0,0,WHITE,GRAY,WHITE
Slovenia,SI,0,0,19.1,GRAY,47.1
Spain,ES,0,0,59.7,WHITE,8.3
Sweden All,SE,0,0,GRAY,
Sweden Norra,SE,1,0,80.9,GRAY,WHITE
Sweden Södra,SE,1,5,77.7,GRAY,WHITE
Sweden Stockholm Gotland,SE,1,2,70.0,GRAY,11.9
Sweden Sydöstra,SE,1,3,80.1,GRAY,WHITE
Sweden Uppsala Örebro,SE,1,1,86.0,GRAY,WHITE
Sweden Västra Götaland,SE,1,4,68.2,GRAY,WHITE
UK All,UK,0,0,,,
UK England,GB,1,ENG,86.4,GRAY,54.9
UK Northern Ireland,GB,1,NIR,80.0,69.70,53.6
UK Scotland,GB,1,SCT,72.5,44.00,62.8
UK Wales,GB,1,WLS,74.4,63.50,54.3
UK Ireland,GB,1,IRL,76.2,GRAY,11.5
